StationID,Date,Type,Temperature
ITE00100554,18000101,TMIN,-148
EZE00100082,18000101,TMAX,-86
EZE00100082,18000101,TMIN,-135
ITE00100554,18000102,TMAX,-60
ITE00100554,18000102,TMIN,-125
EZE00100082,18000102,TMAX,-44
EZE00100082,18000102,TMIN,-130
ITE00100554,18000103,TMAX,-23
ITE00100554,18000103,TMIN,-46
EZE00100082,18000103,TMAX,-10
EZE00100082,18000103,TMIN,-73
ITE00100554,18000104,TMAX,0
ITE00100554,18000104,TMIN,-13
EZE00100082,18000104,TMAX,-55
EZE00100082,18000104,TMIN,-74
ITE00100554,18000105,TMAX,10
ITE00100554,18000105,TMIN,-6
EZE00100082,18000105,TMAX,-40
EZE00100082,18000105,TMIN,-58
ITE00100554,18000106,TMAX,13
ITE00100554,18000106,TMIN,13
EZE00100082,18000106,TMAX,-39
EZE00100082,18000106,TMIN,-57
ITE00100554,18000107,TMAX,31
ITE00100554,18000107,TMIN,10
EZE00100082,18000107,TMAX,-30
EZE00100082,18000107,TMIN,-50
ITE00100554,18000108,TMAX,29
ITE00100554,18000108,TMIN,14
EZE00100082,18000108,TMAX,-1
EZE00100082,18000108,TMIN,-31
ITE00100554,18000109,TMAX,35
ITE00100554,18000109,TMIN,23
EZE00100082,18000109,TMAX,5
EZE00100082,18000109,TMIN,-46
ITE00100554,18000110,TMAX,46
ITE00100554,18000110,TMIN,31
EZE00100082,18000110,TMAX,-46
EZE00100082,18000110,TMIN,-75
ITE00100554,18000111,TMAX,66
ITE00100554,18000111,TMIN,41
EZE00100082,18000111,TMAX,1
EZE00100082,18000111,TMIN,-62
ITE00100554,18000112,TMAX,41
ITE00100554,18000112,TMIN,29
EZE00100082,18000112,TMAX,-33
EZE00100082,18000112,TMIN,-60
ITE00100554,18000113,TMAX,23
ITE00100554,18000113,TMIN,13
EZE00100082,18000113,TMAX,-20
EZE00100082,18000113,TMIN,-60
ITE00100554,18000114,TMAX,41
ITE00100554,18000114,TMIN,23
EZE00100082,18000114,TMAX,0
EZE00100082,18000114,TMIN,-35
ITE00100554,18000115,TMAX,54
ITE00100554,18000115,TMIN,41
EZE00100082,18000115,TMAX,10
EZE00100082,18000115,TMIN,-23
ITE00100554,18000116,TMAX,56
ITE00100554,18000116,TMIN,41
EZE00100082,18000116,TMAX,-11
EZE00100082,18000116,TMIN,-37
ITE00100554,18000117,TMAX,84
ITE00100554,18000117,TMIN,48
EZE00100082,18000117,TMAX,14
EZE00100082,18000117,TMIN,-35
ITE00100554,18000118,TMAX,59
ITE00100554,18000118,TMIN,46
EZE00100082,18000118,TMAX,47
EZE00100082,18000118,TMIN,9
ITE00100554,18000119,TMAX,59
ITE00100554,18000119,TMIN,50
EZE00100082,18000119,TMAX,66
EZE00100082,18000119,TMIN,34
ITE00100554,18000120,TMAX,60
ITE00100554,18000120,TMIN,25
EZE00100082,18000120,TMAX,58
EZE00100082,18000120,TMIN,17
ITE00100554,18000121,TMAX,80
ITE00100554,18000121,TMIN,30
EZE00100082,18000121,TMAX,31
EZE00100082,18000121,TMIN,8
ITE00100554,18000122,TMAX,81
ITE00100554,18000122,TMIN,74
EZE00100082,18000122,TMAX,8
EZE00100082,18000122,TMIN,-16
ITE00100554,18000123,TMAX,85
ITE00100554,18000123,TMIN,75
EZE00100082,18000123,TMAX,18
EZE00100082,18000123,TMIN,-16
ITE00100554,18000124,TMAX,85
ITE00100554,18000124,TMIN,75
EZE00100082,18000124,TMAX,31
EZE00100082,18000124,TMIN,-3
ITE00100554,18000125,TMAX,98
ITE00100554,18000125,TMIN,75
EZE00100082,18000125,TMAX,35
EZE00100082,18000125,TMIN,2
ITE00100554,18000126,TMAX,75
ITE00100554,18000126,TMIN,34
EZE00100082,18000126,TMAX,44
